iter	Passed	Remaining
0	3	1064
1	6	971
2	9	956
3	12	928
4	15	908
5	18	899
6	21	902
7	24	895
8	27	889
9	30	889
10	33	886
11	36	882
12	39	880
13	43	879
14	46	875
15	49	870
16	52	868
17	55	870
18	58	871
19	62	870
20	65	869
21	68	867
22	71	865
23	75	866
24	78	863
25	81	861
26	84	859
27	88	856
28	91	853
29	94	850
30	97	847
31	100	845
32	104	841
33	107	839
34	110	837
35	113	834
36	117	832
37	120	833
38	124	832
39	127	829
40	130	827
41	134	826
42	137	824
43	141	821
44	144	820
45	148	817
46	151	815
47	154	812
48	158	809
49	161	807
50	164	805
51	168	802
52	171	798
53	174	795
54	177	792
55	181	789
56	184	786
57	187	783
58	191	780
59	194	777
60	197	774
61	201	771
62	204	769
63	207	765
64	211	763
65	214	761
66	218	758
67	221	755
68	224	751
69	227	748
70	231	745
71	234	742
72	237	739
73	241	736
74	244	734
75	248	731
76	251	728
77	254	725
78	258	722
79	261	718
80	264	715
81	268	713
82	271	710
83	275	707
84	278	704
85	281	701
86	285	698
87	288	695
88	291	692
89	295	688
90	298	685
91	301	682
92	304	678
93	308	675
94	311	672
95	314	669
96	318	665
97	321	662
98	324	659
99	328	656
100	331	653
101	334	649
102	338	646
103	341	643
104	344	640
105	348	636
106	351	633
107	354	630
108	358	627
109	361	624
110	364	621
111	368	618
112	371	614
113	374	611
114	378	608
115	381	605
116	384	601
117	387	598
118	391	595
119	394	591
120	397	588
121	401	585
122	404	581
123	407	578
124	411	575
125	415	573
126	418	570
127	422	567
128	425	564
129	429	561
130	432	557
131	435	554
132	439	551
133	442	548
134	445	544
135	448	541
136	452	538
137	455	534
138	459	531
139	462	528
140	465	525
141	469	521
142	472	518
143	475	515
144	478	511
145	482	508
146	485	505
147	489	502
148	492	499
149	495	495
150	499	492
151	502	489
152	505	486
153	509	482
154	512	479
155	516	476
156	519	473
157	523	470
158	526	466
159	529	463
160	533	460
161	536	456
162	539	453
163	543	450
164	546	447
165	549	443
166	553	440
167	556	437
168	559	433
169	563	430
170	566	427
171	570	424
172	573	420
173	576	417
174	579	414
175	583	410
176	586	407
177	589	404
178	593	400
179	596	397
180	599	394
181	602	390
182	605	387
183	608	383
184	612	380
185	615	377
186	618	374
187	622	370
188	625	367
189	628	364
190	632	360
191	635	357
192	638	354
193	642	350
194	645	347
195	648	344
196	651	340
197	655	337
198	658	334
199	662	331
200	665	327
201	669	324
202	672	321
203	675	317
204	678	314
205	682	311
206	685	308
207	689	304
208	692	301
209	695	298
210	698	294
211	702	291
212	706	288
213	709	285
214	712	281
215	716	278
216	719	275
217	722	271
218	726	268
219	729	265
220	732	261
221	736	258
222	739	255
223	742	251
224	746	248
225	749	245
226	753	242
227	756	238
228	759	235
229	762	232
230	765	228
231	769	225
232	772	222
233	776	219
234	779	215
235	782	212
236	786	209
237	789	205
238	793	202
239	796	199
240	799	195
241	802	192
242	806	189
243	809	185
244	812	182
245	816	179
246	819	175
247	822	172
248	826	169
249	829	165
250	832	162
251	835	159
252	839	155
253	842	152
254	845	149
255	848	145
256	852	142
257	855	139
258	858	135
259	862	132
260	865	129
261	868	126
262	872	122
263	875	119
264	878	116
265	881	112
266	885	109
267	888	106
268	891	102
269	894	99
270	898	96
271	901	92
272	905	89
273	908	86
274	911	82
275	915	79
276	918	76
277	921	72
278	924	69
279	928	66
280	931	62
281	934	59
282	937	56
283	941	53
284	944	49
285	947	46
286	950	43
287	954	39
288	957	36
289	960	33
290	963	29
291	966	26
292	970	23
293	973	19
294	976	16
295	980	13
296	983	9
297	986	6
298	989	3
299	993	0
